itemid,frequency_rank,label,fluid,category,loinc_code
52074,58,Absolute Monocyte Count,Blood,Hematology,742-7
51133,59,Absolute Lymphocyte Count,Blood,Hematology,731-0
52069,60,Absolute Basophil Count,Blood,Hematology,704-7
51493,61,RBC,Urine,Hematology,5808-1
51516,62,WBC,Urine,Hematology,5821-4
51463,63,Bacteria,Urine,Hematology,5769-5
51476,64,Epithelial Cells,Urine,Hematology,5787-7
50954,65,Lactate Dehydrogenase (LD),Blood,Chemistry,2532-0
52135,66,Immature Granulocytes,Blood,Hematology,
51003,67,Troponin T,Blood,Chemistry,6598-7
50993,68,Thyroid Stimulating Hormone,Blood,Chemistry,3016-3
50933,69,Green Top Hold (plasma),Blood,Chemistry,
50808,70,Free Calcium,Blood,Blood Gas,
50910,71,Creatine Kinase (CK),Blood,Chemistry,2157-6
50887,72,Blue Top Hold,Blood,Chemistry,
51000,73,Triglycerides,Blood,Chemistry,1644-4
50907,74,"Cholesterol, Total",Blood,Chemistry,2093-3
50822,75,"Potassium, Whole Blood",Blood,Blood Gas,
50904,76,"Cholesterol, HDL",Blood,Chemistry,2086-7
50903,77,Cholesterol Ratio (Total/HDL),Blood,Chemistry,9322-9
51144,78,Bands,Blood,Hematology,763-3
50956,79,Lipase,Blood,Chemistry,
50955,80,Light Green Top Hold,Blood,Chemistry,
50911,81,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,6773-6
50905,82,"Cholesterol, LDL, Calculated",Blood,Chemistry,2090-9
50852,83,% Hemoglobin A1c,Blood,Chemistry,4548-4
51251,84,Metamyelocytes,Blood,Hematology,
51255,85,Myelocytes,Blood,Hematology,
51143,86,Atypical Lymphocytes,Blood,Hematology,733-6
50809,87,Glucose,Blood,Blood Gas,
51613,88,eAG,Blood,Chemistry,
50883,89,"Bilirubin, Direct",Blood,Chemistry,1968-7
50884,90,"Bilirubin, Indirect",Blood,Chemistry,1971-1
51082,91,"Creatinine, Urine",Urine,Chemistry,2161-8
50817,92,Oxygen Saturation,Blood,Blood Gas,
50812,93,Intubated,Blood,Blood Gas,
50976,94,"Protein, Total",Blood,Chemistry,2885-2
51103,95,Uhold,Urine,Chemistry,
50924,96,Ferritin,Blood,Chemistry,2276-4
51007,97,Uric Acid,Blood,Chemistry,3084-1
51107,98,"Urine tube, held",Urine,Chemistry,
51508,99,Urine Color,Urine,Hematology,5778-6
50930,100,Globulin,Blood,Chemistry,2336-6
50952,101,Iron,Blood,Chemistry,2498-4
50889,102,C-Reactive Protein,Blood,Chemistry,1988-5
50810,103,"Hematocrit, Calculated",Blood,Blood Gas,
50811,104,Hemoglobin,Blood,Blood Gas,
50824,105,"Sodium, Whole Blood",Blood,Blood Gas,
51214,106,"Fibrinogen, Functional",Blood,Hematology,
51482,107,Hyaline Casts,Urine,Hematology,5796-8
50998,108,Transferrin,Blood,Chemistry,2500-7
50953,109,"Iron Binding Capacity, Total",Blood,Chemistry,
50825,110,Temperature,Blood,Blood Gas,
51010,111,Vitamin B12,Blood,Chemistry,2170-9
50995,112,"Thyroxine (T4), Free",Blood,Chemistry,3024-7
51009,113,Vancomycin,Blood,Chemistry,4091-5
51218,114,Granulocyte Count,Blood,Hematology,
50986,115,tacroFK,Blood,Chemistry,
51102,116,"Total Protein, Urine",Urine,Chemistry,2887-8
50922,117,Ethanol,Blood,Chemistry,5642-4
50816,118,Oxygen,Blood,Blood Gas,
50856,119,Acetaminophen,Blood,Chemistry,3297-9
50806,120,"Chloride, Whole Blood",Blood,Blood Gas,
50981,121,Salicylate,Blood,Chemistry,4023-8
50867,122,Amylase,Blood,Chemistry,6697-7
51092,123,"Opiate Screen, Urine",Urine,Chemistry,
51079,124,"Cocaine, Urine",Urine,Chemistry,
51257,125,Nucleated Red Cells,Blood,Hematology,772-4
51071,126,"Amphetamine Screen, Urine",Urine,Chemistry,
51090,127,"Methadone, Urine",Urine,Chemistry,
51074,128,"Barbiturate Screen, Urine",Urine,Chemistry,3377-9
50853,129,25-OH Vitamin D,Blood,Chemistry,
51099,130,Protein/Creatinine Ratio,Urine,Chemistry,2890-2
51100,131,"Sodium, Urine",Urine,Chemistry,2955-3
50963,132,NTproBNP,Blood,Chemistry,
51501,133,Transitional Epithelial Cells,Urine,Hematology,
50941,134,Hepatitis B Surface Antigen,Blood,Chemistry,5196-1
51288,135,Sedimentation Rate,Blood,Hematology,4537-7
50943,136,Hepatitis C Virus Antibody,Blood,Chemistry,16128-1
50944,137,HIV Antibody,Blood,Chemistry,5220-9
50974,138,Prostate Specific Antigen,Blood,Chemistry,2857-1
50819,139,PEEP,Blood,Blood Gas,
50828,140,Ventilator,Blood,Blood Gas,
51069,141,"Albumin, Urine",Urine,Chemistry,
50827,142,Ventilation Rate,Blood,Blood Gas,
51070,143,"Albumin/Creatinine, Urine",Urine,Chemistry,14958-3
50925,144,Folate,Blood,Chemistry,2284-8
51283,145,"Reticulocyte Count, Automated",Blood,Hematology,
51093,146,"Osmolality, Urine",Urine,Chemistry,
50826,147,Tidal Volume,Blood,Blood Gas,
50965,148,Parathyroid Hormone,Blood,Chemistry,2731-8
50950,149,Immunoglobulin G,Blood,Chemistry,2465-3
50935,150,Haptoglobin,Blood,Chemistry,4542-7
50975,151,Protein Electrophoresis,Blood,Chemistry,
50949,152,Immunoglobulin A,Blood,Chemistry,2458-8
51097,153,"Potassium, Urine",Urine,Chemistry,2828-2
50964,154,"Osmolality, Measured",Blood,Chemistry,
50906,155,"Cholesterol, LDL, Measured",Blood,Chemistry,
51078,156,"Chloride, Urine",Urine,Chemistry,2078-4
50900,157,Carcinoembyronic Antigen (CEA),Blood,Chemistry,2039-6
50951,158,Immunoglobulin M,Blood,Chemistry,2472-9
50946,159,Human Chorionic Gonadotropin,Blood,Chemistry,2119-6
51104,160,"Urea Nitrogen, Urine",Urine,Chemistry,
51989,161,Oxycodone,Urine,Chemistry,
50864,162,Alpha-Fetoprotein,Blood,Chemistry,1834-1
51176,163,"CD3 Cells, Percent",Blood,Hematology,8122-4
51733,164,STX2,Blood,Chemistry,
51180,165,"CD4 Cells, Percent",Blood,Hematology,8127-3
51194,166,"CD8 Cells, Percent",Blood,Hematology,8137-2
52007,167,UTX4,Urine,Chemistry,
50873,168,Anti-Nuclear Antibody,Blood,Chemistry,5047-6
51734,169,STX3,Blood,Chemistry,
52004,170,UTX1,Urine,Chemistry,
52008,171,UTX5,Urine,Chemistry,
52006,172,UTX3,Urine,Chemistry,
51131,173,Absolute CD4 Count,Blood,Hematology,8128-1
51245,174,"Lymphocytes, Percent",Blood,Hematology,
51300,175,WBC Count,Blood,Hematology,
52769,176,Absolute Lymphocyte Count,Blood,Hematology,
51130,177,Absolute CD3 Count,Blood,Hematology,8124-0
51132,178,Absolute CD8 Count,Blood,Hematology,8138-0
51181,179,CD4/CD8 Ratio,Blood,Hematology,
52010,180,UTX7,Urine,Chemistry,
51732,181,STX1,Blood,Chemistry,
52005,182,UTX2,Urine,Chemistry,
51737,183,STX6,Blood,Chemistry,
50909,184,Cortisol,Blood,Chemistry,2143-6
50908,185,CK-MB Index,Blood,Chemistry,
52009,186,UTX6,Urine,Chemistry,
51282,187,"Reticulocyte Count, Absolute",Blood,Hematology,
51564,188,ARCH-1,Blood,Chemistry,
51148,189,Blasts,Blood,Hematology,708-8
50803,190,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,
50967,191,Phenytoin,Blood,Chemistry,3967-7
50915,192,D-Dimer,Blood,Chemistry,
50994,193,Thyroxine (T4),Blood,Chemistry,3026-2
52023,194,Assist/Control,Blood,Blood Gas,
51657,195,HPE1,Blood,Chemistry,
51663,196,HPE7,Blood,Chemistry,
50914,197,Cyclosporin,Blood,Chemistry,3521-2
51098,198,"Prot. Electrophoresis, Urine",Urine,Chemistry,
51001,199,Triiodothyronine (T3),Blood,Chemistry,3053-6
52281,200,Polys,Cerebrospinal Fluid,Hematology,
52264,201,Lymphs,Cerebrospinal Fluid,Hematology,
52272,202,Monocytes,Cerebrospinal Fluid,Hematology,
52286,203,"Total Nucleated Cells, CSF",Cerebrospinal Fluid,Hematology,
51518,204,WBC Clumps,Urine,Hematology,
52285,205,"RBC, CSF",Cerebrospinal Fluid,Hematology,
51658,206,HPE2,Blood,Chemistry,
50937,207,Hepatitis A Virus Antibody,Blood,Chemistry,5183-9
51873,208,Influenza B by PCR,Other Body Fluid,Chemistry,
51865,209,Influenza A by PCR,Other Body Fluid,Chemistry,
50988,210,Testosterone,Blood,Chemistry,2993-4
50927,211,Gamma Glutamyltransferase,Blood,Chemistry,2324-2
50996,212,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry,
51659,213,HPE3,Blood,Chemistry,
51479,214,Granular Casts,Urine,Hematology,5793-5
50823,215,Required O2,Blood,Blood Gas,
50801,216,Alveolar-arterial Gradient,Blood,Blood Gas,
51802,217,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry,
51625,218,Free Kappa,Blood,Chemistry,
51627,219,Free Lambda,Blood,Chemistry,
51626,220,Free Kappa/Free Lambda Ratio,Blood,Chemistry,
51790,221,"Glucose, CSF",Cerebrospinal Fluid,Chemistry,
50892,222,CA-125,Blood,Chemistry,
51736,223,STX5,Blood,Chemistry,
51735,224,STX4,Blood,Chemistry,
50917,225,Digoxin,Blood,Chemistry,10535-3
50891,226,C4,Blood,Chemistry,
51008,227,Valproic Acid,Blood,Chemistry,4086-5
51120,228,Monocytes,Ascites,Hematology,
52065,229,"Total Nucleated Cells, Ascites",Ascites,Hematology,
51116,230,Lymphocytes,Ascites,Hematology,
51125,231,Polys,Ascites,Hematology,
51127,232,"RBC, Ascites",Ascites,Hematology,
50890,233,C3,Blood,Chemistry,
50978,234,Rapamycin,Blood,Chemistry,
51089,235,Marijuana,Urine,Chemistry,
50980,236,Rheumatoid Factor,Blood,Chemistry,6928-6
51108,237,Urine Volume,Urine,Chemistry,
51094,238,pH,Urine,Chemistry,
50898,239,Cancer Antigen 27.29,Blood,Chemistry,
51259,240,Other Cells,Blood,Hematology,729-4
51269,241,Promyelocytes,Blood,Hematology,781-5
50973,242,Prolactin,Blood,Chemistry,2842-3
51117,243,Macrophage,Ascites,Hematology,
50815,244,O2 Flow,Blood,Blood Gas,
50948,245,Immunofixation,Blood,Chemistry,
50926,246,Follicle Stimulating Hormone,Blood,Chemistry,2286-3
51067,247,24 hr Creatinine,Urine,Chemistry,
51846,248,Chlamydia trachomatis,Other Body Fluid,Chemistry,43304-5
51879,249,Neisseria gonorrhoeae,Other Body Fluid,Chemistry,
51903,250,PAN1,Other Body Fluid,Chemistry,
50881,251,Beta-2 Microglobulin,Blood,Chemistry,
50895,252,Calculated TBG,Blood,Chemistry,3027-0
51005,253,Uptake Ratio,Blood,Chemistry,3050-2
50896,254,Calculated Thyroxine (T4) Index,Blood,Chemistry,
51118,255,Mesothelial Cell,Ascites,Hematology,
51196,256,D-Dimer,Blood,Hematology,
51147,257,Bite Cells,Blood,Hematology,10371-3
52391,258,"Total Nucleated Cells, Pleural",Pleural,Hematology,
51455,259,Polys,Pleural,Hematology,
51450,260,Monos,Pleural,Hematology,
51446,261,Lymphocytes,Pleural,Hematology,
50874,262,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,8061-4
50957,263,Lithium,Blood,Chemistry,3719-2
51054,264,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry,
51059,265,"Total Protein, Pleural",Pleural,Chemistry,
50918,266,Double Stranded DNA,Blood,Chemistry,
50932,267,Gray Top Hold (plasma),Blood,Chemistry,
50849,268,"Total Protein, Ascites",Ascites,Chemistry,
50866,269,Ammonia,Blood,Chemistry,
51497,270,Renal Epithelial Cells,Urine,Hematology,
50982,271,Sex Hormone Binding Globulin,Blood,Chemistry,2942-1
51457,272,"RBC, Pleural",Pleural,Hematology,
51474,273,Eosinophils,Urine,Hematology,
50877,274,Anti-Thyroglobulin Antibodies,Blood,Chemistry,5380-1
52018,275,PAN1,Urine,Chemistry,
51986,276,Neisseria gonorrhoeae,Urine,Chemistry,
51972,277,Chlamydia trachomatis,Urine,Chemistry,
51053,278,"Glucose, Pleural",Pleural,Chemistry,
50894,279,Calculated Free Testosterone,Blood,Chemistry,2991-8
51216,280,Fragmented Cells,Blood,Hematology,10373-9
50872,281,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,
50876,282,Anti-Smooth Muscle Antibody,Blood,Chemistry,
51598,283,Cytomegalovirus Viral Load,Blood,Chemistry,
51086,284,"Immunofixation, Urine",Urine,Chemistry,
52036,285,Voided Specimen,Blood,Blood Gas,
52312,286,"Total Nucleated Cells, Joint",Joint Fluid,Hematology,
51375,287,Lymphocytes,Joint Fluid,Hematology,
51379,288,Monocytes,Joint Fluid,Hematology,
51382,289,Polys,Joint Fluid,Hematology,
50835,290,"Albumin, Ascites",Ascites,Chemistry,
51660,291,HPE4,Blood,Chemistry,
50871,292,Anti-Mitochondrial Antibody,Blood,Chemistry,
50805,293,Carboxyhemoglobin,Blood,Blood Gas,
50958,294,Luteinizing Hormone,Blood,Chemistry,1599-0
50961,295,Methotrexate,Blood,Chemistry,
51447,296,Macrophages,Pleural,Hematology,
51373,297,"Joint Crystals, Number",Joint Fluid,Hematology,
51383,298,"RBC, Joint Fluid",Joint Fluid,Hematology,
51224,299,Hemoglobin C,Blood,Hematology,4561-7
51226,300,Hemogloblin A,Blood,Hematology,10346-5
51227,301,Hemogloblin S,Blood,Hematology,4622-7
50831,302,pH,Other Body Fluid,Blood Gas,
51424,303,Immunophenotyping,Other Body Fluid,Hematology,
50938,304,Hepatitis A Virus IgM Antibody,Blood,Chemistry,
50814,305,Methemoglobin,Blood,Blood Gas,
50992,306,Thyroid Peroxidase Antibodies,Blood,Chemistry,
50991,307,Thyroglobulin,Blood,Chemistry,3013-0
50842,308,"Glucose, Ascites",Ascites,Chemistry,
52220,309,wbcp,Blood,Hematology,
51431,310,Monos,Other Body Fluid,Hematology,
51436,311,Polys,Other Body Fluid,Hematology,
51427,312,Lymphocytes,Other Body Fluid,Hematology,
51338,313,Immunophenotyping,Bone Marrow,Hematology,
51513,314,Urine Specimen Type,Urine,Hematology,
51236,315,Inpatient Hematology/Oncology Smear,Blood,Hematology,
51046,316,"Albumin, Pleural",Pleural,Chemistry,
51077,317,"Calcium, Urine",Urine,Chemistry,2004-0
50929,318,Gentamicin,Blood,Chemistry,3664-0
51243,319,Lupus Anticoagulant,Blood,Hematology,
51284,320,"Reticulocyte Count, Manual",Blood,Hematology,
51213,321,Fibrin Degradation Products,Blood,Hematology,
51051,322,"Cholesterol, Pleural",Pleural,Chemistry,
51651,323,Hepatitis C Viral Load,Blood,Chemistry,
51448,324,Mesothelial Cells,Pleural,Hematology,
50966,325,Phenobarbital,Blood,Chemistry,3947-9
52266,326,Macrophage,Cerebrospinal Fluid,Hematology,
51068,327,24 hr Protein,Urine,Chemistry,
50939,328,"Hepatitis B Core Antibody, IgM",Blood,Chemistry,
52024,329,"Creatinine, Whole Blood",Blood,Blood Gas,
51654,330,HIV 1 Viral Load,Blood,Chemistry,
50843,331,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,
52014,332,Voided Specimen,Urine,Chemistry,
51228,333,Heparin,Blood,Hematology,
51225,334,Hemoglobin F,Blood,Hematology,9749-3
51428,335,Macrophage,Other Body Fluid,Hematology,
50836,336,"Amylase, Ascites",Ascites,Chemistry,
50921,337,Estradiol,Blood,Chemistry,
51276,338,Quantitative G6PD,Blood,Hematology,
51648,339,Hepatitis B Viral Load,Blood,Chemistry,
50899,340,Carbamazepine,Blood,Chemistry,3432-2
51411,341,CD45,Other Body Fluid,Hematology,
51223,342,Hemoglobin A2,Blood,Hematology,4552-6
52026,343,Estimated GFR (MDRD equation),Blood,Blood Gas,
52425,344,XUCU,Urine,Hematology,
51342,345,Wright Giemsa,Bone Marrow,Hematology,
51095,346,"Phosphate, Urine",Urine,Chemistry,2778-9
51453,347,Other,Pleural,Hematology,
51376,348,Macrophage,Joint Fluid,Hematology,
51460,349,"Blood, Occult",Stool,Hematology,
52012,350,UTX9,Urine,Chemistry,
51234,351,Immunophenotyping,Blood,Hematology,
51748,352,Treponema pallidum (Syphilis) Ab,Blood,Chemistry,
51749,353,Treponema pallidum (syphilis) value,Blood,Chemistry,
51425,354,Kappa,Other Body Fluid,Hematology,
51426,355,Lambda,Other Body Fluid,Hematology,
51123,356,Other,Ascites,Hematology,
51138,357,Anticardiolipin Antibody IgG,Blood,Hematology,
51139,358,Anticardiolipin Antibody IgM,Blood,Hematology,
51229,359,"Heparin, LMW",Blood,Hematology,
51839,360,Anat Path Hold,Other Body Fluid,Chemistry,
51262,361,Pencil Cells,Blood,Hematology,10377-0
51206,362,Factor VIII,Blood,Hematology,3209-4
51505,363,Uric Acid Crystals,Urine,Hematology,5817-2
50945,364,Homocysteine,Blood,Chemistry,13965-9
51444,365,Eosinophils,Pleural,Hematology,
51198,366,Envelope Cells,Blood,Hematology,681-7
50913,367,Cryoglobulin,Blood,Chemistry,
51795,368,"Lactate Dehydrogenase, CSF",Cerebrospinal Fluid,Chemistry,
52427,369,UCU2,Urine,Hematology,
50989,370,"Testosterone, Free",Blood,Chemistry,2991-8
52369,371,"Total Nucleated Cells, Other",Other Body Fluid,Hematology,
51140,372,Antithrombin,Blood,Hematology,
51325,373,CD45,Bone Marrow,Hematology,
51066,374,24 hr Calcium,Urine,Chemistry,
50838,375,"Bilirubin, Total, Ascites",Ascites,Chemistry,
51899,376,Trichomonas vaginalis,Other Body Fluid,Chemistry,
51904,377,PAN2,Other Body Fluid,Chemistry,
51933,378,C. diff PCR,Stool,Chemistry,
50841,379,"Creatinine, Ascites",Ascites,Chemistry,
51297,380,Thrombin,Blood,Hematology,
51412,381,CD5,Other Body Fluid,Hematology,
50997,382,Tobramycin,Blood,Chemistry,4058-4
52278,383,Other,Cerebrospinal Fluid,Hematology,
51662,384,HPE6,Blood,Chemistry,
50916,385,DHEA-Sulfate,Blood,Chemistry,2191-5
51388,386,CD10,Other Body Fluid,Hematology,
51400,387,CD20,Other Body Fluid,Hematology,
51438,388,"RBC, Other Fluid",Other Body Fluid,Hematology,
51047,389,"Amylase, Pleural",Pleural,Chemistry,
52256,390,Eosinophils,Cerebrospinal Fluid,Hematology,
51263,391,Plasma Cells,Blood,Hematology,
51114,392,Eosinophils,Ascites,Hematology,
51956,393,CDT027,Stool,Chemistry,
51434,394,Other Cell,Other Body Fluid,Hematology,
51313,395,CD19,Bone Marrow,Hematology,
51271,396,"Protein C, Functional",Blood,Hematology,
51060,397,"Triglycerides, Pleural",Pleural,Chemistry,
51105,398,"Uric Acid, Urine",Urine,Chemistry,3086-6
51419,399,Eosinophils,Other Body Fluid,Hematology,
51319,400,CD3,Bone Marrow,Hematology,
51337,401,HLA-DR,Bone Marrow,Hematology,
52955,402,CD10,Bone Marrow,Hematology,
51273,403,"Protein S, Functional",Blood,Hematology,
51423,404,HLA-DR,Other Body Fluid,Hematology,
51722,405,RFXLDLM,Blood,Chemistry,
51315,406,CD20,Bone Marrow,Hematology,
51088,407,"Magnesium, Urine",Urine,Chemistry,2598-1
51420,408,FMC-7,Other Body Fluid,Hematology,
51402,409,CD23,Other Body Fluid,Hematology,
51340,410,Kappa,Bone Marrow,Hematology,
51341,411,Lambda,Bone Marrow,Hematology,
51326,412,CD5,Bone Marrow,Hematology,
51289,413,Serum Viscosity,Blood,Hematology,3128-6
51945,414,Norovirus Genogroup I,Stool,Chemistry,54905-5
51946,415,Norovirus Genogroup II,Stool,Chemistry,54906-3
51183,416,CD45,Blood,Hematology,
50869,417,Anti-DGP (IgA/IgG),Blood,Chemistry,
51026,418,"Amylase, Body Fluid",Other Body Fluid,Chemistry,
52992,419,Iron Stain,Bone Marrow,Hematology,
51152,420,CD10,Blood,Hematology,
51370,421,"Joint Crystals, Birefringence",Joint Fluid,Hematology,
51374,422,"Joint Crystals, Shape",Joint Fluid,Hematology,
51372,423,"Joint Crystals, Location",Joint Fluid,Hematology,
51184,424,CD5,Blood,Hematology,
51238,425,Kappa,Blood,Hematology,
51239,426,Lambda,Blood,Hematology,
51033,427,FetalFN,Other Body Fluid,Chemistry,
51052,428,"Creatinine, Pleural",Pleural,Chemistry,
51230,429,HLA-DR,Blood,Hematology,
52123,430,"G6PD, Qualitative",Blood,Hematology,2356-4
51174,431,CD3 %,Blood,Hematology,
51175,432,CD3 Absolute Count,Blood,Hematology,
50985,433,Study Tubes,Blood,Chemistry,
51503,434,Triple Phosphate Crystals,Urine,Hematology,5814-9
52424,435,RFXUCU,Urine,Hematology,
51299,436,Von Willebrand Factor Antigen,Blood,Hematology,6012-9
51429,437,Mesothelial cells,Other Body Fluid,Hematology,
51298,438,Von Willebrand Factor Activity,Blood,Hematology,6014-5
51335,439,FMC-7,Bone Marrow,Hematology,
51317,440,CD23,Bone Marrow,Hematology,
51921,441,"proBNP, Pleural",Pleural,Chemistry,
51416,442,CD7,Other Body Fluid,Hematology,
51215,443,FMC-7,Blood,Hematology,
51169,444,CD20 %,Blood,Hematology,
51170,445,CD20 Absolute Count,Blood,Hematology,
51165,446,CD19 %,Blood,Hematology,
51166,447,CD19 Absolute Count,Blood,Hematology,
51163,448,CD16/56%,Blood,Hematology,
51162,449,CD16/56 Absolute Count,Blood,Hematology,
51399,450,CD2,Other Body Fluid,Hematology,
51172,451,CD23,Blood,Hematology,
51368,452,Eosinophils,Joint Fluid,Hematology,
51406,453,CD34,Other Body Fluid,Hematology,
51471,454,Cellular Cast,Urine,Hematology,
51321,455,CD34,Bone Marrow,Hematology,
51192,456,CD7,Blood,Hematology,
51445,457,"Hematocrit, Pleural",Pleural,Hematology,
51167,458,CD2,Blood,Hematology,
52221,459,Atypical Lymphocytes,Cerebrospinal Fluid,Hematology,
51688,460,Lyme C6 Ab,Blood,Chemistry,
51689,461,Lyme G and M Value,Blood,Chemistry,
51235,462,Inhibitor Screen,Blood,Hematology,
51332,463,CD7,Bone Marrow,Hematology,
51381,464,Other,Joint Fluid,Hematology,
51247,465,MacroOvalocytes,Blood,Hematology,10376-2
51661,466,HPE5,Blood,Chemistry,
51314,467,CD2,Bone Marrow,Hematology,
52019,468,PAN2,Urine,Chemistry,
51996,469,Trichomonas vaginalis,Urine,Chemistry,
51307,470,CD13,Bone Marrow,Hematology,
51768,471,EE6,Blood,Chemistry,
52426,472,UCU1,Urine,Hematology,
51762,473,EE1,Blood,Chemistry,
51499,474,Sperm,Urine,Hematology,
51769,475,RUBIgGV,Blood,Chemistry,
51724,476,Rubella IgG Ab,Blood,Chemistry,
51798,477,"PEP, CSF",Cerebrospinal Fluid,Chemistry,
51754,478,VZV IgG Ab Value,Blood,Chemistry,
51753,479,VZV IgG Ab,Blood,Chemistry,
51369,480,"Hematocrit, Joint Fluid",Joint Fluid,Hematology,
51877,481,MRSA PCR,Other Body Fluid,Chemistry,
51893,482,Staph aureus PCR,Other Body Fluid,Chemistry,
50968,483,"Phenytoin, Free",Blood,Chemistry,3969-3
51290,484,Sickle Cell Preparation,Blood,Hematology,
51763,485,EE2,Blood,Chemistry,
51305,486,CD117,Bone Marrow,Hematology,
50969,487,"Phenytoin, Percent Free",Blood,Chemistry,
51587,488,CMV IgG Ab Value,Blood,Chemistry,
51586,489,CMV IgG Ab,Blood,Chemistry,
51034,490,"Glucose, Body Fluid",Other Body Fluid,Chemistry,
51043,491,"Total Protein, Body Fluid",Other Body Fluid,Chemistry,
51310,492,CD15,Bone Marrow,Hematology,
51481,493,Hemosiderin,Urine,Hematology,
52419,494,Voided Specimen,Urine,Hematology,
51320,495,CD33,Bone Marrow,Hematology,
51080,496,Creatinine Clearance,Urine,Chemistry,
51081,497,"Creatinine, Serum",Urine,Chemistry,
51101,498,Total Collection Time,Urine,Chemistry,
51106,499,Urine Creatinine,Urine,Chemistry,
51109,500,"Urine Volume, Total",Urine,Chemistry,
52223,501,Bands,Cerebrospinal Fluid,Hematology,
51035,502,"LD, Body Fluid",Other Body Fluid,Chemistry,
51232,503,Hypersegmented Neutrophils,Blood,Hematology,766-6
51124,504,Plasma,Ascites,Hematology,
51025,505,"Albumin, Body Fluid",Other Body Fluid,Chemistry,
51590,506,CMV Interpretation,Blood,Chemistry,
51588,507,CMV IgM Ab,Blood,Chemistry,
51309,508,CD14,Bone Marrow,Hematology,
52262,509,Immunophenotyping,Cerebrospinal Fluid,Hematology,
51619,510,Epstein-Barr Virus VCA IgG Ab,Blood,Chemistry,
51620,511,Epstein-Barr Virus VCA IgM Ab,Blood,Chemistry,
51614,512,Epstein-Barr Virus  EBNA IgG Ab,Blood,Chemistry,
51615,513,Epstein-Barr Virus EBNA IgG Ab,Blood,Chemistry,
51617,514,Epstein-Barr Virus IgM Ab Value,Blood,Chemistry,
51616,515,Epstein-Barr Virus IgG Ab Value,Blood,Chemistry,
51764,516,EE7,Blood,Chemistry,
